strategy,family,parameter,side,input,output,average_price,slippage_bps
flashbots-c100,flashbots,concentration=100,sell_x,10,999.000999,99.9000999,-9.990009999999439
flashbots-c100,flashbots,concentration=100,sell_x,25,2493.765586034,99.75062344136,-24.937655863999098
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,1,0.009999998,100.000020000004,-0.0020000000000575113
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,10,0.099999899,100.000101000102,-0.01009999999967981
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,50,0.499997487,100.00050260252608,-0.05026000000074582
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,100,0.999989899,100.00101011020313,-0.10100999999984595
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,500,4.99973687,100.00526287696415,-0.5262599999988904
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,1000,9.998889149,100.01110974412704,-1.1108510000001903
dodo-k1000000000000000,dodo,K=1000000000000000,buy_x,2500,24.991673141,100.03331853354923,-3.3307435999996304
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,0.001,0.099999998,99.999998,-0.00019999999989472883
