treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
dodo-k200000000000000000,univ2-zero-fee,retailEdge,1000,-1092.3169298651324,-2340.4255190383155,-957.2950461338314,-330.41846235643163,19.42204900226413,-1130.383446415542,-1054.2504133147227,-56.24107578648346,0,true
dodo-k200000000000000000,univ2-zero-fee,arbitrageEdge,1000,1491.099375780852,501.94845926405753,1374.5020011671872,2867.7319024490353,22.65438265007218,1446.6976016947215,1535.5011498669824,65.81946631752956,1,true
flashbots-c5,univ2-zero-fee,netEdge,1000,398.78696957489854,4.616550466121197,295.0415221687805,1098.9320518646994,11.727653752661961,375.8011905965251,421.772748553272,34.003985621112086,0.999,true
flashbots-c5,univ2-zero-fee,retailEdge,1000,-1089.7118461658958,-2282.0325052383573,-957.5282019338699,-334.45576390787414,19.253348583482886,-1127.4477159713176,-1051.975976360474,-56.59856213795146,0,true
flashbots-c5,univ2-zero-fee,arbitrageEdge,1000,1488.4988157407947,505.01732531222814,1372.678731653761,2847.7219433091595,22.493888548066938,1444.4116043143256,1532.5860271672639,66.17347696731218,1,true
dodo-k100000000000000000,univ2-zero-fee,netEdge,1000,398.76932924312825,4.613122286214875,294.98688263635506,1099.0983200468763,11.727556987446146,375.7837399210928,421.75491856516373,34.00276201343502,0.999,true
dodo-k100000000000000000,univ2-zero-fee,retailEdge,1000,-1239.845356920285,-2656.9979775595575,-1086.007116422503,-372.33744485813963,22.15179709261445,-1283.2620814146485,-1196.4286324259215,-55.97041864082699,0,true
dodo-k100000000000000000,univ2-zero-fee,arbitrageEdge,1000,1638.6146861634131,553.3912169338707,1492.4409970171678,3165.2961097155357,25.050497267119155,1589.5166137250405,1687.7127586017857,65.41246142503647,1,true
flashbots-c10,univ2-zero-fee,netEdge,1000,398.77115057502004,4.619768160150741,295.0098458838949,1098.9961492920959,11.727800230941966,375.7850845044933,421.7572166455468,34.00221207067671,0.999,true
flashbots-c10,univ2-zero-fee,retailEdge,1000,-1239.2567220275423,-2626.8331382287247,-1088.7050326247215,-374.3423926834364,22.07802876806376,-1282.5288632625866,-1195.984580792498,-56.130768514087094,0,true
flashbots-c10,univ2-zero-fee,arbitrageEdge,1000,1638.0278726025645,550.3834423916703,1496.4537593216376,3138.5164173589774,24.977447097041956,1589.0729758666077,1686.9827693385212,65.58027592806127,1,true
dodo-k50000000000000000,univ2-zero-fee,netEdge,1000,398.762467573398,4.618100687037227,294.98509024858765,1099.072937679109,11.72775866983489,375.77648296114427,421.74845218565173,34.00159218820385,0.999,true
dodo-k50000000000000000,univ2-zero-fee,retailEdge,1000,-1314.6726579579326,-2814.046817530159,-1149.596246949422,-394.6715125134391,23.550642984398536,-1360.8310700201146,-1268.5142458957507,-55.82321717622982,0,true
dodo-k50000000000000000,univ2-zero-fee,arbitrageEdge,1000,1713.4351255313293,581.5117569107113,1556.038331122719,3328.4328436562,26.303021013413744,1661.882151660438,1764.9880994022205,65.14214183448848,1,true
flashbots-c20,univ2-zero-fee,netEdge,1000,398.76355306612516,4.621730470537187,294.99490612884813,1099.0303328625027,11.727872972004526,375.7773444257356,421.74976170651473,34.00135335861918,0.999,true
flashbots-c20,univ2-zero-fee,retailEdge,1000,-1314.61211569012,-2811.1613301046373,-1152.184696493956,-394.53362240778614,23.519730200336625,-1360.7099398088787,-1268.5142915713611,-55.894013430107485,0,true
flashbots-c20,univ2-zero-fee,arbitrageEdge,1000,1713.375668756244,581.8624371776162,1556.3894382458088,3308.2968943848855,26.271239264184494,1661.884985969208,1764.8663515432802,65.21868464317495,1,true
dodo-k20000000000000000,univ2-zero-fee,netEdge,1000,398.7581481938546,4.621172741759796,294.98201916571907,1099.0570878836318,11.727870961465934,375.77194349404823,421.74435289366096,34.00089833048534,0.999,true
dodo-k20000000000000000,univ2-zero-fee,retailEdge,1000,-1359.8944981637378,-2909.7548090140062,-1187.3746154529197,-407.348159101421,24.403529333608468,-1407.724536753277,-1312.0644595741985,-55.725320693302145,0,true
dodo-k20000000000000000,univ2-zero-fee,arbitrageEdge,1000,1758.6526463575922,596.1882767627619,1591.5791302556563,3415.278054743785,27.074172941686154,1705.5882424806784,1811.717050234506,64.95683728346846,1,true
flashbots-c50,univ2-zero-fee,netEdge,1000,398.7588504693516,4.622543027920102,294.9852335387166,1099.041431993072,11.727923550319955,375.77254269728536,421.74515824141787,34.000805748641916,0.999,true
flashbots-c50,univ2-zero-fee,retailEdge,1000,-1359.9324563509085,-2909.2335336996953,-1187.3460309703887,-407.49716115794075,24.39367946539672,-1407.7431895535003,-1312.1217231483167,-55.749377959976066,0,true
flashbots-c50,univ2-zero-fee,arbitrageEdge,1000,1758.6913068202593,596.0458696739694,1592.8380826144478,3416.434391303871,27.06355408365188,1705.6477155226498,1811.7348981178689,64.98375273935737,1,true
dodo-k10000000000000000,univ2-zero-fee,netEdge,1000,398.756977352545,4.627134980698285,294.9788392878673,1099.0539433369615,11.727918604289913,375.7706792745195,421.74327543057046,34.00066037350269,0.999,true
dodo-k10000000000000000,univ2-zero-fee,retailEdge,1000,-1375.0498875837934,-2942.3796664447864,-1199.9642082391292,-411.75112394003986,24.69070459266769,-1423.4427793383397,-1326.656995829247,-55.69099425344618,0,true
dodo-k10000000000000000,univ2-zero-fee,arbitrageEdge,1000,1773.8068649363374,601.9761290571412,1602.1893095567432,3447.534791425659,27.334832806229237,1720.2315771127041,1827.3821527599707,64.89181322272843,1,true
flashbots-c100,univ2-zero-fee,netEdge,1000,398.7572564447332,4.628075939022848,294.9811326048637,1099.0486406716186,11.727942655325263,375.7709112275446,421.74360166192173,34.00061444397249,0.999,true
flashbots-c100,univ2-zero-fee,retailEdge,1000,-1375.0889638986412,-2941.7865033719436,-1200.0979347438986,-411.66243529099444,24.68597516931391,-1423.4725861537465,-1326.7053416435358,-55.70324665998838,0,true
flashbots-c100,univ2-zero-fee,arbitrageEdge,1000,1773.8462203433767,602.2992238057029,1601.828475796666,3444.3144723547903,27.329533753472415,1720.281318472299,1827.4111222144543,64.90583543592275,1,true
dodo-k1000000000000000,univ2-zero-fee,netEdge,1000,398.75541214860334,4.62493718338874,294.9795308526843,1099.0481557865241,11.727939021690448,375.76907405320816,421.7417502439985,34.00046772166175,0.999,true
